HIIREGID,RA,DEC,EWHa6562,fluxHb4861,e_fluxHb4861,fluxOIII5006,e_fluxOIII5006,fluxHa6562,e_fluxHa6562,fluxNII6583,e_fluxNII6583,fluxSII6716,e_fluxSII6716,fluxSII6730,e_fluxSII6730
NGC0309-54,14.185420089334585,-9.913215909675843,28.84835270358056,6.989787622481984,0.6471539367054606,-0.0946119134877618,0.5372221178923939,24.275043508442813,0.3485653787406485,9.240987021420246,0.3527799717192455,-0.1651031400960296,0.37852610343551,3.5356530923352434,0.4726714156075642
NGC0309-55,14.182140519386987,-9.912231819523882,16.07980263064529,6.7143223347976,0.2348841912827483,0.1933351979820709,0.2456589728949605,29.001700732768096,0.2112343696863849,11.756558110766235,0.2530743008053115,2.672328059668849,0.2471867512511007,2.143889245875552,0.2577188984149718
NGC0309-56,14.178824701583446,-9.902631349139115,71.04716057020491,3.608456097888216,0.1463442674979871,1.6381601674895323,0.1979552170839004,13.545958028662326,0.141669633506924,3.915314471900196,0.1137924189493658,2.196499424959871,0.1205756873755183,2.6864323144304505,0.1559159153277785
NGC0309-57,14.17239909140738,-9.919843588373151,31.343967466456856,7.660468301078297,0.3274577231815286,2.2150868226058025,0.31422191409671,31.003816179846,0.2514909259009975,11.23043475935825,0.2743687175724375,3.956519537469105,0.2916084460296739,2.077001669407896,0.3684932984703288
NGC0309-58,14.168074709985602,-9.91135947174424,30.98787989030197,7.077523543028992,0.3004364590336577,3.876871734333689,0.329111743253036,28.36907250744178,0.2732486193330189,8.337958453767476,0.2423709901711837,5.130254168232588,0.241028697736947,4.64585130985819,0.2881264253050776
NGC0309-59,14.181910107544056,-9.91041554799154,17.605226214143116,6.418633782670039,0.2609226655175689,0.9579076127308608,0.2523825775271924,24.47420338403768,0.1904219343216423,7.7918719741472815,0.1774884513593042,2.6192967156684506,0.1989999777927901,1.254078177827773,0.2051382543543597
NGC0309-60,14.178727528645137,-9.906572708473416,28.23508399793448,3.1694389097979725,0.4174791093779019,-0.9191531099430992,0.6121169231002518,23.47209996801561,0.3606230461553366,9.50841135713332,0.4067303547297661,2.562309515863412,0.3841478426323689,-0.0156302574128818,0.4007512098471087
NGC0309-61,14.179200585581585,-9.908942944911589,24.7798417536888,5.669738792154654,0.3279202404051154,0.2252220660398134,0.2286769406864222,25.59350078251048,0.1695369873475082,8.349393829473277,0.1946417875466992,2.966122020070876,0.2371431557009125,0.518853502081179,0.2212219885056597
NGC0309-62,14.180507476305284,-9.909871177054558,17.692130427150097,3.900832568120298,0.4582248285475326,2.8957556669649147,0.6872022347551672,21.79471171386988,0.4359519697239631,4.787304318796462,0.4304670349685406,3.3164990550578533,0.4136325991034491,2.339269664518241,0.5522076511517865
NGC0309-63,14.165980925010787,-9.914048942499448,16.259680894602212,26.10300437878499,0.3742083005353946,8.771958280666196,0.4635460960261123,46.87515069754993,0.2465423962637435,12.34557883179251,0.2513986720625455,5.4003408098812455,0.3449297734376311,5.455523113135898,0.4072174798739015
NGC0309-64,14.174046541458807,-9.91969217796489,19.242120818969525,8.243706572272135,0.3228363698395237,1.2889317161609324,0.2977036662398574,24.573145982381213,0.2711778452555252,8.167268277645151,0.2989835336047802,2.061112449725892,0.3448796185210686,1.2095096749712144,0.3084456353962352
NGC0309-65,14.180264923515184,-9.910888407036635,16.064123020642153,5.860658515725139,0.2442109051837316,1.0617287364936432,0.2875966000974665,20.052749248098536,0.197374756449987,6.623177053531188,0.1987547103058544,1.1417945122669668,0.2388689126542676,0.4701769302852535,0.3389222818003249
NGC0309-66,14.173788828239683,-9.913089583088931,13.987101824583668,6.204914889207103,0.2248137524257503,0.7756442119143917,0.1900860016061469,24.876667511191474,0.1904374839106542,8.056654106398119,0.1846675357474724,1.2244030173701084,0.2455422957546699,7.929931068451696,0.658855526223792
NGC0309-67,14.172574278205248,-9.911300104166918,17.782167385692656,9.914197653608962,0.2930366529010548,-0.3377872057808407,0.2688413850345615,24.23435591406904,0.2041325375440557,8.629049862711373,0.2322016735305251,2.4790136186708605,0.2162888476791215,2.195840157325696,0.2477348483392314
NGC0309-68,14.17075766893404,-9.917447260304868,27.65053081695592,7.958773794022142,0.307496852117132,0.4309642699821669,0.2091123904345112,26.214933742450256,0.3968563521155432,7.9246128211632065,0.1963394900533041,2.1939329095210294,0.221262546059364,2.2160582124125145,0.2159589856908021
NGC0309-69,14.165832611823278,-9.912566105714928,26.23443750534973,11.103802127581057,0.375648859654956,3.4139610591528795,0.3601689531641867,30.891129442307268,0.2532094789444872,9.736628343974834,0.2497138477364042,4.127739124864242,0.2970161735409728,5.332896201891375,0.3132880998831376
NGC0309-70,14.17384355105104,-9.906067809566292,30.381581983564963,7.176012534667865,0.3077838135695125,2.309398194909367,0.3033663899728798,29.054311943415964,0.2154251111128258,11.366775885168392,0.2534174718505734,3.1503987421109456,0.237665243284548,2.5356796340759478,0.2971535925528197
NGC0309-71,14.176117690149688,-9.915572933626432,11.349433777516788,6.74399710703507,0.324199668898064,0.3546085318812565,0.2535935394266774,22.69495998231482,0.217609635666414,7.029724068958371,0.2221826004948847,2.136903769904268,0.3784971811160129,-0.0435782066830105,0.4266249580509937
NGC0309-72,14.169979087235612,-9.911272281514451,26.423203599044516,6.655389619411428,0.2742304519526715,0.9716705283460448,0.2436578481131572,17.12601695534826,0.2135353186032234,6.924947471274017,0.2275810277653814,2.2329380402226966,0.2407199230189315,2.0534910076117607,0.2909996140458003
NGC0309-73,14.166102346639928,-9.915344103190932,41.83617329025243,4.06823054809148,0.1708619062077055,1.7841872431862364,0.1903414725069636,17.712047732004034,0.1203952934982925,5.056226281842358,0.1313505242195413,3.862157807698732,0.1465944935206679,3.535670701789698,0.2079811602238291
NGC0309-74,14.170396212462116,-9.912351759692909,23.672910612721743,4.617409478519613,0.3505701516520828,-1.008474769813368,0.2082030193148729,18.17920850635993,1.2085767197982906,2.47013661655222,0.243914038199296,1.6106627846743231,0.262896598983696,1.919806331035938,0.5342153757035846
NGC0309-75,14.179795985107164,-9.916077864188647,10.517346262678071,6.275557377328593,0.304960078070649,1.5212304091241808,0.2363868322115854,23.385816494217973,0.1928214702143872,7.0057888748940655,0.221458559026595,1.4754098844853645,0.2702287351368748,0.8872473074306687,0.2741738673019122
NGC0309-76,14.178802416013044,-9.916410104275144,10.33327826651492,4.86219402819267,0.2250015990315331,0.6883727906478815,0.2081095559999486,16.88282578699404,0.1681861598931416,5.33497236965368,0.2006755135977756,1.5301613175790052,0.2663779866917849,0.0175617538990728,0.2284766213683513
NGC0309-77,14.182472724530722,-9.914499892616517,15.016595865852256,5.112913515691282,0.2371206396610665,0.8911027145441441,0.2230311936903056,21.68610488038625,0.1760671118422195,8.664268214923583,0.1687136230084664,2.417017441106316,0.1927008782288706,0.5032032466082952,0.2378101701208786
NGC0309-78,14.175638491338749,-9.921875381832011,21.75884534108344,3.949123565445788,0.2134491911278204,0.010482798261766,0.2052593868045282,16.56302352770768,0.1747745910110324,6.031631675041742,0.1610404328849075,2.2846365314460257,0.1993980601589732,3.1505530456463555,0.2075018068797645
NGC0309-79,14.1756573099029,-9.911557486245872,8.80137633638665,4.023869559644028,0.2320785953435268,-0.0863922089149756,0.221195348914229,15.648211782854984,0.199644082085599,5.017327376878458,0.1991929213610989,1.0136567664458511,0.2223931324277794,-0.1760889663297253,0.2173940871407534
NGC0309-80,14.17191117501189,-9.912547744867148,17.480885709070304,6.775456556284139,0.3039109180850611,-0.0723585556876303,0.237329767022852,23.2925756364516,0.2371450996313208,8.392036863339737,0.2291676143616198,2.41223249795312,0.2456002304163394,1.0964357341173194,0.3939803194629409
